"persons-name","persons-birth_date","persons-sources","persons-summary","persons-image","persons-name","organizations-name","organizations-classification","posts-label","posts-role","posts-cargonominal","posts-cargotipo","posts-cargoclase","posts-duracioncargo","memberships-label","memberships-role","memberships-cargonominal","memberships-start_date","memberships-end_date","memberships-end_date_accuracy","memberships-start_date_accuracy"
"Miguel Dante Dovena","","","","","Miguel Dante Dovena","Santa Cruz","Provincia","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Raul Augusto Druetta","","","","","Raul Augusto Druetta","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Ramon Adolfo Dussol","","","","","Ramon Adolfo Dussol","Chaco","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Juan Francisco Carmelo Elizalde","","","","","Juan Francisco Carmelo Elizalde","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Ivelise Ilda Falcioni De Bravo","","","","","Ivelise Ilda Falcioni De Bravo","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Oscar Lujan Fappiano","","","","","Oscar Lujan Fappiano","Formosa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Carlos Alberto Federik","","","","","Carlos Alberto Federik","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Carlos Eduardo Ferre","","","","","Carlos Eduardo Ferre","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Emma Figueroa De Tolosa","","","","","Emma Figueroa De Tolosa","Santiago del Estero","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Torcuato Enrique Fino","","","","","Torcuato Enrique Fino","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Anibal Eulogio Flores","","","","","Anibal Eulogio Flores","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Antonio Matias García","","","","","Antonio Matias García","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"José Alberto Furque","","","","","José Alberto Furque","Catamarca","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Carlos Euclides García","","","","","Carlos Euclides García","Santiago del Estero","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-09-16","",""
"Roberto Juan García","","","","","Roberto Juan García","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Jacinto Gimenez","","","","","Jacinto Gimenez","Río Negro","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Ruben Alberto Gaziano","","","","","Ruben Alberto Gaziano","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Julio Jose Oscar Ginzo","","","","","Julio Jose Oscar Ginzo","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Maria Florentina Gomez Miranda","","","","","Maria Florentina Gomez Miranda","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Arnaldo González","","","","","Arnaldo González","Río Negro","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
